model,dataset,n,positive_n,negative_n,prevalence,metric,estimate,ci_lower_95,ci_upper_95,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_seed
Logistic A-only,Primary ID-isolated Wave 3 common subset,2430,683,1747,0.2810699588477366,AUROC,0.67717593263834,0.6541607776856052,0.7007229309735835,2000,2000,20260613
Logistic A-only,Primary ID-isolated Wave 3 common subset,2430,683,1747,0.2810699588477366,AUPRC,0.4691301013420743,0.43227984731665947,0.5090374110720676,2000,2000,20260613
Logistic A-only,Primary ID-isolated Wave 3 common subset,2430,683,1747,0.2810699588477366,Brier score,0.19447631858052655,0.18907498668933811,0.19998036189249174,2000,2000,20260613
Logistic A-only,Primary ID-isolated Wave 3 common subset,2430,683,1747,0.2810699588477366,calibration_intercept,-0.4469555469364144,-0.556023661700731,-0.3335250359948763,2000,2000,20260613
Logistic A-only,Primary ID-isolated Wave 3 common subset,2430,683,1747,0.2810699588477366,calibration_slope,1.1320240059681774,0.9720163704667564,1.3109719845454197,2000,2000,20260613
XGBoost A+B,Primary ID-isolated Wave 3 common subset,2430,683,1747,0.2810699588477366,AUROC,0.6655643097851913,0.6413868933237741,0.6899879714655316,2000,2000,20260613
XGBoost A+B,Primary ID-isolated Wave 3 common subset,2430,683,1747,0.2810699588477366,AUPRC,0.46040893334758604,0.42345447200118963,0.49912995419105494,2000,2000,20260613
XGBoost A+B,Primary ID-isolated Wave 3 common subset,2430,683,1747,0.2810699588477366,Brier score,0.19713447017684577,0.19132243491647702,0.20312453517701307,2000,2000,20260613
XGBoost A+B,Primary ID-isolated Wave 3 common subset,2430,683,1747,0.2810699588477366,calibration_intercept,-0.5251097340893227,-0.6276810456000392,-0.41792256829259133,2000,2000,20260613
XGBoost A+B,Primary ID-isolated Wave 3 common subset,2430,683,1747,0.2810699588477366,calibration_slope,0.9563224757091195,0.8125948467129028,1.113099894616523,2000,2000,20260613
