comparison_group,model_name,model_type,train_fraction_of_pool,train_fraction_label,train_n_mean,validation_n_mean,validation_auroc_mean,validation_auroc_sd,validation_auprc_mean,validation_auprc_sd,train_auroc_mean,train_auroc_sd,train_auprc_mean,train_auprc_sd,repeat_count
main_text_dual_track_comparison,xgboost_A_plus_B,xgboost,0.2,20%,924.0,1157.0,0.6435983148090357,0.0080351301111757,0.5998045141801149,0.0110643485531814,0.9228724405299608,0.0071807616857757,0.9172344762729796,0.0071948770057017,10
main_text_dual_track_comparison,xgboost_A_plus_B,xgboost,0.4,40%,1849.0,1157.0,0.6580636207600163,0.0114048757141949,0.6171434228746197,0.0101330427981847,0.8542452652850228,0.0068875703499262,0.8446304374749651,0.0052016273761252,10
main_text_dual_track_comparison,xgboost_A_plus_B,xgboost,0.6,60%,2774.0,1157.0,0.6684938905826152,0.0101506961264405,0.622503973072099,0.0129879663033591,0.8193774767100521,0.0056499187292362,0.8050202974951928,0.0056801646595968,10
main_text_dual_track_comparison,xgboost_A_plus_B,xgboost,0.8,80%,3699.0,1157.0,0.6739854646277937,0.0097673684918301,0.629153757508057,0.008735690096193,0.7951360686008859,0.0036574116359629,0.7807607167180948,0.0029188941923646,10
main_text_dual_track_comparison,xgboost_A_plus_B,xgboost,1.0,100%,4624.0,1157.0,0.676679789711213,0.0080575287486057,0.6327782759405195,0.0116290429755255,0.7776945687914075,0.0018656270241905,0.7597012198788551,0.0022048517005483,10
same_input_method_comparison,logistic_A_only,logistic,0.2,20%,944.0,1180.0,0.6741313675935345,0.0115837648510107,0.6408932236801548,0.0090000940505319,0.6966734651610927,0.0134460713653466,0.6640627217045172,0.0226816647008699,10
same_input_method_comparison,logistic_A_only,logistic,0.4,40%,1888.0,1180.0,0.6778090608078706,0.0126393665030971,0.6408946619166092,0.0074932450039127,0.6865402191726548,0.0135140374575067,0.6537191897455964,0.0132977591354886,10
same_input_method_comparison,logistic_A_only,logistic,0.6,60%,2832.0,1180.0,0.679576728115247,0.0095350099281678,0.6425012118149797,0.0068908402102688,0.6903046415857751,0.0066143234465052,0.6509781227088516,0.0117975414317251,10
same_input_method_comparison,logistic_A_only,logistic,0.8,80%,3776.0,1180.0,0.6816123984542276,0.0096103412704062,0.6437698092482644,0.0062629310598689,0.6868382864417311,0.003848945376843,0.6490222580791165,0.0054442554069648,10
same_input_method_comparison,logistic_A_only,logistic,1.0,100%,4720.0,1180.0,0.6827345530833316,0.0099456988146856,0.6447185069054558,0.0066096929703898,0.6861204098906838,0.0025680967941437,0.6477306353601288,0.0016820548759093,10
same_input_method_comparison,xgboost_A_only,xgboost,0.2,20%,944.0,1180.0,0.6470263190504048,0.0158958226436901,0.606630141979567,0.0143994849775419,0.816304455490122,0.0086617208208778,0.805199872678528,0.0094313178345129,10
same_input_method_comparison,xgboost_A_only,xgboost,0.4,40%,1888.0,1180.0,0.6650826630856083,0.0167417935647317,0.6260174636760072,0.0105206937490511,0.7618520607092045,0.007890770576915,0.7451508680912623,0.0090639741775276,10
same_input_method_comparison,xgboost_A_only,xgboost,0.6,60%,2832.0,1180.0,0.6689894556656706,0.0126265567811067,0.6321452535899837,0.0064086075525762,0.7456796043166187,0.0043163491970683,0.7272164504457124,0.0069296387269438,10
same_input_method_comparison,xgboost_A_only,xgboost,0.8,80%,3776.0,1180.0,0.6745260236707193,0.0122728026819048,0.6371596900960317,0.0115278045703122,0.729906790840492,0.001797001633542,0.7101888619482453,0.0027644362542,10
same_input_method_comparison,xgboost_A_only,xgboost,1.0,100%,4720.0,1180.0,0.676343113042526,0.0123579439069901,0.6371476523709574,0.0074768398774065,0.7233241215985016,0.0028272148232868,0.7013396720749795,0.0024578939159566,10
