model,primary_model_name,strict_model_name,dataset,comparison_item,primary_value,strict_value,strict_minus_primary
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,sample_size,5900.0,5597.0,-303.0
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,positive_n,2787.0,2787.0,0.0
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,negative_n,3113.0,2810.0,-303.0
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,prevalence,0.4723728813559322,0.4979453278542076,0.0255724464982753
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,AUROC,0.6809434053820851,0.7006882488217411,0.0197448434396559
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,AUPRC,0.6417658456223212,0.6984896798169902,0.0567238341946689
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,Brier score,0.2248384548539218,0.2191253645017952,-0.0057130903521265
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,accuracy,0.6371186440677966,0.6474897266392711,0.0103710825714744
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,sensitivity,0.5421600287047004,0.6092572658772875,0.067097237172587
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,specificity,0.7221329906842274,0.6854092526690392,-0.0367237380151882
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,F1,0.5853186132093744,0.6325200223505308,0.0472014091411564
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,calibration_intercept,-0.0040451196981765,-0.0003612698346472,0.0036838498635292
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,calibration_slope,0.9643732859215712,0.9753493262860908,0.0109760403645196
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,sample_size,5781.0,5498.0,-283.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,positive_n,2704.0,2704.0,0.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,negative_n,3077.0,2794.0,-283.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,prevalence,0.4677391454765611,0.4918152055292834,0.0240760600527222
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,AUROC,0.6749840869362881,0.6943699754969439,0.0193858885606558
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,AUPRC,0.6276035263051336,0.6869721619486509,0.0593686356435172
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,Brier score,0.2268367880038736,0.2213397032359742,-0.0054970847678993
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,accuracy,0.6267081819754368,0.6418697708257548,0.015161588850318
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,sensitivity,0.5384615384615384,0.5920857988165681,0.0536242603550296
