label_definition,model,dataset,N,positive_N,negative_N,observed_prevalence,mean_predicted_probability,calibration_in_the_large_observed_minus_predicted,expected_calibration_error_equal_frequency_10bin,metric,estimate,ci_lower_95,ci_upper_95,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_seed,method_note
Primary available-component label,Logistic A-only,Wave 1 development OOF,5900,2787,3113,0.4723728813559322,0.4723198525834605,5.302877247170823e-05,0.013618019164059629,Brier score,0.2248384548539218,0.2209332599328723,0.22870018613875576,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,Logistic A-only,Wave 1 development OOF,5900,2787,3113,0.4723728813559322,0.4723198525834605,5.302877247170823e-05,0.013618019164059629,calibration_intercept,-0.004045119698176517,-0.057419095203345136,0.05191350730123504,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,Logistic A-only,Wave 1 development OOF,5900,2787,3113,0.4723728813559322,0.4723198525834605,5.302877247170823e-05,0.013618019164059629,calibration_slope,0.9643732859215712,0.8767521625900873,1.0569069320442392,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,XGBoost A+B,Wave 1 development OOF,5781,2704,3077,0.46773914547656115,0.4675934127116416,0.00014573276491952614,0.02594468151427088,Brier score,0.2268367880038736,0.2225441444193779,0.23106106457913345,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,XGBoost A+B,Wave 1 development OOF,5781,2704,3077,0.46773914547656115,0.4675934127116416,0.00014573276491952614,0.02594468151427088,calibration_intercept,-0.022687831677295846,-0.07679988064369914,0.03326839744562994,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,XGBoost A+B,Wave 1 development OOF,5781,2704,3077,0.46773914547656115,0.4675934127116416,0.00014573276491952614,0.02594468151427088,calibration_slope,0.8161378913107207,0.743899662554825,0.8931313056385849,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,Logistic A-only,ID-isolated Wave 3 validation,2453,694,1759,0.28291887484712597,0.38297161054072665,-0.10005273569360068,0.1000527356936007,Brier score,0.19429919085089517,0.18835560344803956,0.19996692694641088,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,Logistic A-only,ID-isolated Wave 3 validation,2453,694,1759,0.28291887484712597,0.38297161054072665,-0.10005273569360068,0.1000527356936007,calibration_intercept,-0.4338172108675491,-0.5362586231684948,-0.3279749841389071,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,Logistic A-only,ID-isolated Wave 3 validation,2453,694,1759,0.28291887484712597,0.38297161054072665,-0.10005273569360068,0.1000527356936007,calibration_slope,1.1500196424926834,0.9888567121015094,1.3216188604680752,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,XGBoost A+B,ID-isolated Wave 3 validation,2430,683,1747,0.2810699588477366,0.38349221948271606,-0.10242226063497945,0.10242226063497942,Brier score,0.19713447017684577,0.19132243491647702,0.20312453517701307,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,XGBoost A+B,ID-isolated Wave 3 validation,2430,683,1747,0.2810699588477366,0.38349221948271606,-0.10242226063497945,0.10242226063497942,calibration_intercept,-0.5251097340893227,-0.6276810456000392,-0.41792256829259133,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Primary available-component label,XGBoost A+B,ID-isolated Wave 3 validation,2430,683,1747,0.2810699588477366,0.38349221948271606,-0.10242226063497945,0.10242226063497942,calibration_slope,0.9563224757091195,0.8125948467129028,1.113099894616523,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Strict-label sensitivity,Logistic A-only,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.4978976697844149,4.7658069792677615e-05,0.012956466968688208,Brier score,0.21912536450179526,0.2149265886353323,0.22313078874519382,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Strict-label sensitivity,Logistic A-only,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.4978976697844149,4.7658069792677615e-05,0.012956466968688208,calibration_intercept,-0.0003612698346471524,-0.05786498570148327,0.05722850406594789,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Strict-label sensitivity,Logistic A-only,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.4978976697844149,4.7658069792677615e-05,0.012956466968688208,calibration_slope,0.9753493262860907,0.9012130399013544,1.0570283463168373,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Strict-label sensitivity,XGBoost A+B,Wave 1 development OOF,5498,2704,2794,0.4918152055292834,0.4919245035893052,-0.00010929806002180076,0.02913853331866135,Brier score,0.2213397032243254,0.21719316330781765,0.2257790796497212,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Strict-label sensitivity,XGBoost A+B,Wave 1 development OOF,5498,2704,2794,0.4918152055292834,0.4919245035893052,-0.00010929806002180076,0.02913853331866135,calibration_intercept,-0.008576422518962118,-0.06661781485996522,0.04622580493402708,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Strict-label sensitivity,XGBoost A+B,Wave 1 development OOF,5498,2704,2794,0.4918152055292834,0.4919245035893052,-0.00010929806002180076,0.02913853331866135,calibration_slope,0.8513622469296859,0.7818067737013514,0.9211141010004905,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Strict-label sensitivity,Logistic A-only,ID-isolated Wave 3 validation,2391,694,1697,0.2902551233793392,0.400089588667451,-0.1098344652881118,0.10983446528811178,Brier score,0.19854596884385675,0.19250580197291622,0.20436235230799604,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
Strict-label sensitivity,Logistic A-only,ID-isolated Wave 3 validation,2391,694,1697,0.2902551233793392,0.400089588667451,-0.1098344652881118,0.10983446528811178,calibration_intercept,-0.5377431978941665,-0.6402175215258866,-0.43243460723727933,2000,2000,20260613,Calibration-in-the-large is observed prevalence minus mean predicted probability; ECE uses 10 equal-frequency bins.
