model,primary_model_name,strict_model_name,dataset,comparison_item,primary_value,strict_value,strict_minus_primary
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,sample_size,5900.0,5597.0,-303.0
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,positive_n,2787.0,2787.0,0.0
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,negative_n,3113.0,2810.0,-303.0
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,prevalence,0.4723728813559322,0.4979453278542076,0.025572446498275392
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,AUROC,0.6809434053820851,0.7006882488217411,0.01974484343965599
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,AUPRC,0.6417658456223212,0.6984896798169902,0.056723834194668976
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,Brier score,0.2248384548539218,0.21912536450179526,-0.005713090352126526
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,accuracy,0.6371186440677966,0.6474897266392711,0.010371082571474455
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,sensitivity,0.5421600287047004,0.6092572658772875,0.06709723717258709
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,specificity,0.7221329906842274,0.6854092526690392,-0.036723738015188245
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,F1,0.5853186132093744,0.6325200223505308,0.04720140914115645
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,calibration_intercept,-0.004045119698176517,-0.0003612698346472477,0.0036838498635292697
Logistic A-only,logistic_A_only_id_isolated,logistic_A_only_strict_label,Wave 1 development OOF,calibration_slope,0.9643732859215712,0.9753493262860908,0.010976040364519601
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,sample_size,5781.0,5498.0,-283.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,positive_n,2704.0,2704.0,0.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,negative_n,3077.0,2794.0,-283.0
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,prevalence,0.46773914547656115,0.4918152055292834,0.024076060052722226
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,AUROC,0.6749840869362881,0.6943699754969439,0.019385888560655817
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,AUPRC,0.6276035263051336,0.6869721619486509,0.05936863564351724
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,Brier score,0.2268367880038736,0.22133970323597424,-0.005497084767899368
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,accuracy,0.6267081819754368,0.6418697708257548,0.015161588850318042
XGBoost A+B,xgboost_A_plus_B_id_isolated,xgboost_A_plus_B_strict_label,Wave 1 development OOF,sensitivity,0.5384615384615384,0.5920857988165681,0.05362426035502965
