model,model_name,dataset,sample_size,positive_n,negative_n,prevalence,threshold,metric,estimate,ci_lower_95,ci_upper_95,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_seed,method_note
Logistic A-only,logistic_A_only_strict_label,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.5,AUROC,0.7006882488217411,0.6872098896802067,0.7145259786854922,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.5,AUPRC,0.6984896798169902,0.6790381435853547,0.7180889229326625,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.5,Brier score,0.21912536450179526,0.2149265886353323,0.22313078874519382,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.5,accuracy,0.6474897266392711,0.6346212256566017,0.6600008933357155,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.5,sensitivity,0.6092572658772875,0.5908916863326867,0.626948045055367,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.5,specificity,0.6854092526690392,0.6677277272519885,0.7028011685269923,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.5,F1,0.6325200223505308,0.6171703728686384,0.646878495372571,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.5,calibration_intercept,-0.0003612698346472477,-0.05786498570148334,0.05722850406594787,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
Logistic A-only,logistic_A_only_strict_label,Wave 1 development OOF,5597,2787,2810,0.4979453278542076,0.5,calibration_slope,0.9753493262860908,0.9012130399013544,1.0570283463168373,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,Wave 1 development OOF,5498,2704,2794,0.4918152055292834,0.5,AUROC,0.6943699754969439,0.6808095628432874,0.7073900616146118,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
XGBoost A+B,xgboost_A_plus_B_strict_label,Wave 1 development OOF,5498,2704,2794,0.4918152055292834,0.5,AUPRC,0.6869721619486509,0.6675026295625761,0.7050420443255497,2000,2000,20260613,Participant-level bootstrap from fixed strict-label predictions; no bootstrap model refitting.
