subgroup_domain,subgroup_label,model,N,positive_N,negative_N,prevalence,metric,estimate,ci_lower_95,ci_upper_95,bootstrap_replicates_requested,bootstrap_replicates_valid,bootstrap_seed,adequacy_flag,interpretation_note
Sex,Men,Logistic A-only,1184,290,894,0.24493243243243243,AUROC,0.683618761089254,0.6478482903166851,0.7189834834297593,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Men,Logistic A-only,1184,290,894,0.24493243243243243,AUPRC,0.44482618153553566,0.3924961038870909,0.5065060646832908,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Men,Logistic A-only,1184,290,894,0.24493243243243243,Brier score,0.1743585886774719,0.16556914052343277,0.18341331651419557,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Men,XGBoost A+B,1184,290,894,0.24493243243243243,AUROC,0.665224099359716,0.6269794323699954,0.7018967848077183,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Men,XGBoost A+B,1184,290,894,0.24493243243243243,AUPRC,0.4288577205443198,0.37608784272350465,0.4858333810048867,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Men,XGBoost A+B,1184,290,894,0.24493243243243243,Brier score,0.17783447993982482,0.16846355168012184,0.18751191458195368,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Women,Logistic A-only,1246,393,853,0.31540930979133225,AUROC,0.65859755570073,0.6251305138772125,0.6913419820290522,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Women,Logistic A-only,1246,393,853,0.31540930979133225,AUPRC,0.48526793817121777,0.4360694804895614,0.5384036339637318,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Women,Logistic A-only,1246,393,853,0.31540930979133225,Brier score,0.2135930057436219,0.20718450375259767,0.21975594314185962,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Women,XGBoost A+B,1246,393,853,0.31540930979133225,AUROC,0.6483746931202253,0.6150586402770034,0.6806643378314131,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Women,XGBoost A+B,1246,393,853,0.31540930979133225,AUPRC,0.48154337153178717,0.43211804122352954,0.5346619229329075,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Sex,Women,XGBoost A+B,1246,393,853,0.31540930979133225,Brier score,0.215474107769649,0.20843017122941673,0.22260415352031748,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
Age,60-69 years,Logistic A-only,2176,545,1631,0.25045955882352944,AUROC,0.638812233165897,0.6132974830973152,0.6641983449667238,2000,2000,20260613,adequate,Subgroup estimates are descriptive; no formal interaction test was performed.
